Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
3,4,43,0,0,1,0,0,0,0,0,18,0,1
3,13,428,0,0,0,0,0,1,0,0,26,1,1
3,4,55,0,0,0,0,0,1,0,0,20,0,0
3,15,634,0,0,0,1,0,0,0,0,28,3,1
3,17,803,0,0,1,0,0,0,0,0,20,0,0
3,14,544,0,0,1,0,0,0,0,0,15,0,0
3,5,78,0,0,1,0,0,0,0,0,21,0,0
3,4,34,0,0,0,0,0,1,0,0,24,0,0
3,11,305,0,0,0,1,0,0,0,0,24,0,1
3,12,471,1,0,0,0,0,0,0,0,18,0,1
3,14,466,1,0,0,0,0,0,0,0,26,1,0
3,1,0,0,0,0,0,0,1,0,0,22,0,0
3,14,591,0,0,0,0,0,1,0,0,22,0,1
3,11,476,0,0,1,0,0,0,0,0,18,0,1
3,18,957,0,0,0,0,0,1,0,0,23,2,1
